Formula,Query Result,Total Evaluation Time
ResAllocation-PT-R020C002-CTLCardinality-7,FALSE,1.756
ResAllocation-PT-R020C002-CTLCardinality-8,FALSE,1.796
RwMutex-PT-r0010w2000-CTLCardinality-0,FALSE,51815
RwMutex-PT-r0010w2000-CTLCardinality-9,FALSE,45756.2
RwMutex-PT-r0010w2000-CTLCardinality-10,FALSE,134.208
RwMutex-PT-r0010w2000-CTLCardinality-11,FALSE,53464.4
RwMutex-PT-r0010w2000-CTLCardinality-12,FALSE,180.353
RwMutex-PT-r0010w2000-CTLCardinality-13,FALSE,181.712
RwMutex-PT-r0010w2000-CTLCardinality-14,TRUE,199.937
RwMutex-PT-r0010w2000-CTLCardinality-15,TRUE,178.065
RwMutex-PT-r0010w2000-CTLCardinality-1,TRUE,47094.1
RwMutex-PT-r0010w2000-CTLCardinality-2,TRUE,179.118
RwMutex-PT-r0010w2000-CTLCardinality-3,TRUE,307.218
RwMutex-PT-r0010w2000-CTLCardinality-4,FALSE,289.122
RwMutex-PT-r0010w2000-CTLCardinality-5,FALSE,51561.2
RwMutex-PT-r0010w2000-CTLCardinality-6,FALSE,165.835
RwMutex-PT-r0010w2000-CTLCardinality-7,FALSE,162.263
RwMutex-PT-r0010w2000-CTLCardinality-8,FALSE,46618.6
Solitaire-PT-FrnNC7x7-CTLCardinality-0,FALSE,0.934
Solitaire-PT-FrnNC7x7-CTLCardinality-9,,
Solitaire-PT-FrnNC7x7-CTLCardinality-10,,
Solitaire-PT-FrnNC7x7-CTLCardinality-11,,
Solitaire-PT-FrnNC7x7-CTLCardinality-12,FALSE,1.091
Solitaire-PT-FrnNC7x7-CTLCardinality-13,FALSE,3.825
Solitaire-PT-FrnNC7x7-CTLCardinality-14,TRUE,0.591
Solitaire-PT-FrnNC7x7-CTLCardinality-15,FALSE,0.596
Solitaire-PT-FrnNC7x7-CTLCardinality-1,FALSE,1.57696e+06
Solitaire-PT-FrnNC7x7-CTLCardinality-2,TRUE,0.683
Solitaire-PT-FrnNC7x7-CTLCardinality-3,FALSE,0.677
Solitaire-PT-FrnNC7x7-CTLCardinality-4,TRUE,0.718
Solitaire-PT-FrnNC7x7-CTLCardinality-5,TRUE,0.697
Solitaire-PT-FrnNC7x7-CTLCardinality-7,,
Solitaire-PT-FrnNC7x7-CTLCardinality-8,FALSE,1.301
Solitaire-PT-SqrNC5x5-CTLCardinality-0,TRUE,187394
Solitaire-PT-SqrNC5x5-CTLCardinality-9,TRUE,0.633
Solitaire-PT-SqrNC5x5-CTLCardinality-10,FALSE,787694
Solitaire-PT-SqrNC5x5-CTLCardinality-12,TRUE,2.555
Solitaire-PT-SqrNC5x5-CTLCardinality-13,TRUE,1.59757e+06
Solitaire-PT-SqrNC5x5-CTLCardinality-14,,
Solitaire-PT-SqrNC5x5-CTLCardinality-1,,
Solitaire-PT-SqrNC5x5-CTLCardinality-2,TRUE,1.338
Solitaire-PT-SqrNC5x5-CTLCardinality-3,TRUE,0.661
Solitaire-PT-SqrNC5x5-CTLCardinality-4,FALSE,0.99
Solitaire-PT-SqrNC5x5-CTLCardinality-5,FALSE,0.638
Solitaire-PT-SqrNC5x5-CTLCardinality-6,TRUE,0.583
Solitaire-PT-SqrNC5x5-CTLCardinality-7,FALSE,0.548
Solitaire-PT-SqrNC5x5-CTLCardinality-8,TRUE,674067
SwimmingPool-PT-02-CTLCardinality-0,TRUE,142825
SwimmingPool-PT-02-CTLCardinality-9,TRUE,22.961
SwimmingPool-PT-02-CTLCardinality-10,FALSE,63012.1
SwimmingPool-PT-02-CTLCardinality-11,FALSE,12.926
SwimmingPool-PT-02-CTLCardinality-12,FALSE,11.669
SwimmingPool-PT-02-CTLCardinality-13,TRUE,0.136
SwimmingPool-PT-02-CTLCardinality-14,FALSE,275545
SwimmingPool-PT-02-CTLCardinality-15,FALSE,275510
SwimmingPool-PT-02-CTLCardinality-1,FALSE,88528
SwimmingPool-PT-02-CTLCardinality-2,FALSE,0.263
SwimmingPool-PT-02-CTLCardinality-3,TRUE,2.774
SwimmingPool-PT-02-CTLCardinality-4,FALSE,231557
SwimmingPool-PT-02-CTLCardinality-5,TRUE,22.962
SwimmingPool-PT-02-CTLCardinality-6,FALSE,33.081
SwimmingPool-PT-02-CTLCardinality-7,FALSE,0.238
SwimmingPool-PT-02-CTLCardinality-8,FALSE,0.096
SwimmingPool-PT-03-CTLCardinality-0,FALSE,0.139
SwimmingPool-PT-03-CTLCardinality-9,TRUE,0.147
SwimmingPool-PT-03-CTLCardinality-10,TRUE,1.09
SwimmingPool-PT-03-CTLCardinality-11,TRUE,24.032
SwimmingPool-PT-03-CTLCardinality-12,FALSE,0.324
SwimmingPool-PT-03-CTLCardinality-13,TRUE,0.073
SwimmingPool-PT-03-CTLCardinality-14,TRUE,0.191
SwimmingPool-PT-03-CTLCardinality-15,FALSE,29.985
SwimmingPool-PT-03-CTLCardinality-1,FALSE,0.097
SwimmingPool-PT-03-CTLCardinality-2,FALSE,0.387
SwimmingPool-PT-03-CTLCardinality-3,FALSE,85.524
SwimmingPool-PT-03-CTLCardinality-4,,
SwimmingPool-PT-03-CTLCardinality-5,,
SwimmingPool-PT-03-CTLCardinality-6,,
SwimmingPool-PT-03-CTLCardinality-7,TRUE,0.201
SwimmingPool-PT-03-CTLCardinality-8,,
SwimmingPool-PT-05-CTLCardinality-0,TRUE,78.292
SwimmingPool-PT-05-CTLCardinality-9,TRUE,788.924
SwimmingPool-PT-05-CTLCardinality-10,TRUE,0.251
SwimmingPool-PT-05-CTLCardinality-11,TRUE,56.284
SwimmingPool-PT-05-CTLCardinality-12,,
SwimmingPool-PT-05-CTLCardinality-13,FALSE,277554
SwimmingPool-PT-05-CTLCardinality-14,FALSE,0.3
SwimmingPool-PT-05-CTLCardinality-15,,
SwimmingPool-PT-05-CTLCardinality-1,FALSE,0.138
SwimmingPool-PT-05-CTLCardinality-2,FALSE,0.162
SwimmingPool-PT-05-CTLCardinality-3,FALSE,0.258
SwimmingPool-PT-05-CTLCardinality-4,,
